id,symbol,name,current_price,market_cap,total_volume,last_updated,ingestion_time
bitcoin,btc,Bitcoin,116698.0,2321919738119,33950325757.0,2025-08-07T16:32:14.782Z,2025-08-07T16:33:42.263133
ethereum,eth,Ethereum,3832.8,462361867029,28430691924.0,2025-08-07T16:32:12.862Z,2025-08-07T16:33:42.263133
ripple,xrp,XRP,3.06,181217780537,4362100723.0,2025-08-07T16:32:02.711Z,2025-08-07T16:33:42.263133
tether,usdt,Tether,1.0,164061949314,70005598919.0,2025-08-07T16:32:02.310Z,2025-08-07T16:33:42.263133
binancecoin,bnb,BNB,774.64,107837637704,1024136838.0,2025-08-07T16:32:03.365Z,2025-08-07T16:33:42.263133
solana,sol,Solana,170.16,91669810938,4368790823.0,2025-08-07T16:32:02.217Z,2025-08-07T16:33:42.263133
usd-coin,usdc,USDC,0.999776,64512991623,11437875746.0,2025-08-07T16:32:02.830Z,2025-08-07T16:33:42.263133
staked-ether,steth,Lido Staked Ether,3829.78,33956394988,75303720.0,2025-08-07T16:32:15.915Z,2025-08-07T16:33:42.263133
tron,trx,TRON,0.340685,32270472024,868418446.0,2025-08-07T16:32:02.423Z,2025-08-07T16:33:42.263133
dogecoin,doge,Dogecoin,0.214306,32204442552,1637935860.0,2025-08-07T16:32:16.112Z,2025-08-07T16:33:42.263133
cardano,ada,Cardano,0.761414,27536465040,743812280.0,2025-08-07T16:32:02.328Z,2025-08-07T16:33:42.263133
wrapped-steth,wsteth,Wrapped stETH,4628.52,14941666521,51379435.0,2025-08-07T16:32:15.913Z,2025-08-07T16:33:42.263133
wrapped-bitcoin,wbtc,Wrapped Bitcoin,116646.0,14799425721,152510247.0,2025-08-07T16:32:16.023Z,2025-08-07T16:33:42.263133
sui,sui,Sui,3.74,13132494036,1417592456.0,2025-08-07T16:32:03.355Z,2025-08-07T16:33:42.263133
hyperliquid,hype,Hyperliquid,39.32,13129774500,155861707.0,2025-08-07T16:32:15.942Z,2025-08-07T16:33:42.263133
stellar,xlm,Stellar,0.411529,12852088841,298597294.0,2025-08-07T16:32:02.683Z,2025-08-07T16:33:42.263133
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,4126.05,12230251177,19275527.0,2025-08-07T16:32:15.949Z,2025-08-07T16:33:42.263133
chainlink,link,Chainlink,17.99,12177183806,649881004.0,2025-08-07T16:32:02.794Z,2025-08-07T16:33:42.263133
bitcoin-cash,bch,Bitcoin Cash,577.56,11481212722,712392249.0,2025-08-07T16:32:02.361Z,2025-08-07T16:33:42.263133
wrapped-eeth,weeth,Wrapped eETH,4107.3,10740370586,22231015.0,2025-08-07T16:32:02.023Z,2025-08-07T16:33:42.263133
hedera-hashgraph,hbar,Hedera,0.252368,10693729661,305885942.0,2025-08-07T16:32:16.058Z,2025-08-07T16:33:42.263133
ethena-usde,usde,Ethena USDe,1.001,9762569931,518628864.0,2025-08-07T16:32:15.983Z,2025-08-07T16:33:42.263133
avalanche-2,avax,Avalanche,22.66,9559625041,434671580.0,2025-08-07T16:32:03.257Z,2025-08-07T16:33:42.263133
litecoin,ltc,Litecoin,121.88,9258464208,1052225766.0,2025-08-07T16:32:02.318Z,2025-08-07T16:33:42.263133
weth,weth,WETH,3832.48,9026049162,617408099.0,2025-08-07T16:32:15.960Z,2025-08-07T16:33:42.263133
leo-token,leo,LEO Token,8.96,8271003329,2101105.0,2025-08-07T16:32:15.894Z,2025-08-07T16:33:42.263133
the-open-network,ton,Toncoin,3.32,8027626341,254250105.0,2025-08-07T16:32:02.672Z,2025-08-07T16:33:42.263133
